Price,Close,High,Low,Open,Volume,EMA_12,EMA_26,EMA_50,EMA_200,MACD,MACD_Signal,MACD_Hist,RSI_14
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,,,,,,,,
2025-02-19,44.89832305908203,45.2559209226264,44.163260362992276,44.69965715830884,68515800,43.19016439172072,42.288112560205214,41.42475317684128,36.45310763221513,0.9020518315155072,0.5346555895372355,0.3673962419782718,69.72302315677969
2025-02-20,44.351993560791016,44.8138901580709,43.15503428586909,44.72449069442845,80266000,43.368907340808455,42.44099263432268,41.53954691738833,36.53170351210146,0.9279147064857723,0.6133074129269429,0.3146072935588295,64.58829520483519
2025-02-21,41.575645446777344,44.595356391805595,41.456447427410545,44.585421013136944,118627200,43.0930208955729,42.37689284265266,41.54096254599182,36.58189198906341,0.7161280529202401,0.6338715409256024,0.0822565119946376,51.89290671779662
2025-02-24,40.080692291259766,42.24117881781978,39.98136123246397,41.96801272227584,106467400,42.629585725678574,42.20680391291985,41.483697045806245,36.61670592241859,0.4227818127587213,0.5916535952922262,-0.1688717825335048,49.96318035742767
2025-02-25,38.55097579956055,39.92176268019664,37.637114089899256,39.89693180865045,151194400,42.00210727550657,41.936001830448795,41.36868836948288,36.635952388857824,0.0661054450577722,0.4865439652453354,-0.4204385201875631,38.96009881643025
2025-02-26,38.7993049621582,39.95652657521336,38.08907690294424,39.027769428789945,126351400,41.50936845806836,41.70365391427912,41.26792823586231,36.65747828510957,-0.1942854562107641,0.3503780809541155,-0.5446635371648796,37.61227434104264
2025-02-27,35.580928802490234,39.81746260814721,35.501464711239414,39.59396582543986,206751000,40.59730081874865,41.25011872081328,41.04490865023987,36.64676634995913,-0.6528179020646263,0.1497388843503671,-0.8025567864149934,27.4976516617575
2025-02-28,37.209983825683594,37.33414955157488,34.806137191262174,35.491530634056666,186358000,40.076175127507874,40.950849469322186,40.89451944143375,36.65237050394643,-0.8746743418143126,-0.0551437608825688,-0.8195305809317438,37.770121976447584
2025-03-03,34.80613327026367,38.26787392441688,33.99160650331431,37.93014303646933,183891600,39.26539945716261,40.49568530642896,40.65575919942708,36.6339999842083,-1.2302858492663518,-0.2901721785593254,-0.9401136707070264,27.023028587877405
2025-03-04,34.423702239990234,36.142155312129425,32.784717045729764,34.15053993556531,261673800,38.520522962213015,40.04590878298905,40.41136480886093,36.61200697182802,-1.5253858207760371,-0.5372149070026678,-0.9881709137733696,26.89593950115909
2025-03-05,35.76469421386719,36.10242511594297,33.519775926764346,34.54290401233223,201266600,38.09654930862135,39.72878177786892,40.22914243258667,36.603575999112,-1.632232469247569,-0.7562184194516481,-0.8760140497959208,31.95623686092948
2025-03-06,32.799617767333984,35.01473380587674,32.367519688157365,33.96677480301578,245645400,37.28163676380791,39.21551036968115,39.93778852414539,36.56572566844754,-1.933873605873238,-0.9917494567359662,-0.9421241491372718,20.78088599243651
2025-03-07,33.480045318603516,33.77804227771002,31.235127062244853,32.56121599327281,270354600,36.69677654146877,38.79066110663836,39.684543692555515,36.535022381384415,-2.0938845651695885,-1.2121764784226907,-0.8817080867468978,21.446761358267494
2025-03-10,29.705406188964844,31.880790035295355,28.746846722425943,31.7864228798151,312271600,35.62118110262201,38.11767926088476,39.293204966924506,36.467066001360344,-2.496498158262753,-1.4690408143907032,-1.0274573438720498,16.976243047180475
2025-03-11,29.357742309570312,30.718597501292844,28.49354808918145,29.50177499540487,278978600,34.65757513446021,37.46879504226888,38.903578980361594,36.39632646213855,-2.8112199078086704,-1.7374766330742968,-1.0737432747343736,16.705682901801026
2025-03-12,30.36100196838379,31.12089555808121,29.382575501928468,30.76329768310901,283837200,33.99656387814076,36.942291851610726,38.56857596028403,36.33627348210119,-2.945727973469964,-1.9791269011534305,-0.9666010723165336,20.601130456146223
2025-03-13,28.7021484375,30.221935645559157,28.329651275584553,30.197102880355168,242454600,33.18203842573449,36.33191085797289,38.18165723390035,36.260312038871334,-3.1498724322384035,-2.213276007370425,-0.9365964248679784,21.61630082611653
2025-03-14,30.73846435546875,30.907329805044515,29.55144041342961,29.65573916018034,198217000,32.806103953385914,35.91758148741703,37.889767317099114,36.20536828082753,-3.111477534031117,-2.392916312702564,-0.718561221328553,29.882352032737515
2025-03-17,31.334461212158203,31.925489357996696,30.3709359058778,30.7334995813537,180300800,32.57969737781242,35.57809109665712,37.632696489454375,36.156901543825846,-2.998393718844696,-2.5140117939309903,-0.4843819249137056,33.80877683115686
